Date,Close,High,Low,Open,Volume,MA50,MA200,Year
2020-06-22,1767.8184814453125,1789.0014871667106,1760.1473487584153,1787.0401016892467,3196138,1687.0503247070312,,2020
2020-06-23,1774.225341796875,1781.8093212943568,1752.1706143843724,1766.9899678393645,4205944,1692.8882495117186,,2020
2020-06-24,1780.2403564453125,1799.46197417324,1771.0000740211588,1773.0922395389948,2560937,1697.791298828125,,2020
2020-06-25,1757.488525390625,1795.757356354556,1751.5172175997045,1773.9641845541364,3043931,1702.3592602539063,,2020
2020-06-26,1847.0582275390625,1858.52134866416,1760.8443280891452,1765.2465905463998,6300722,1709.1375610351563,,2020
2020-06-29,1832.0645751953125,1854.6860562985216,1823.0423303564878,1837.6001255988656,3076341,1715.9480078125,,2020
2020-06-30,1815.0660400390625,1840.999914747305,1808.8769068786894,1830.626449993586,3071725,1720.8513623046874,,2020
2020-07-01,1823.696044921875,1842.7867761932632,1812.755831314534,1812.9301341050098,2503466,1725.7108935546876,,2020
2020-07-02,1880.445068359375,1887.288207729428,1828.8825218551224,1832.369428474484,3758699,1733.1134716796876,,2020
2020-07-03,1917.4935302734375,1922.15735319874,1883.1475837857497,1886.1113694048865,4185208,1740.7033544921876,,2020
2020-07-06,1972.8922119140625,1978.7327393850676,1922.1577505858372,1922.1577505858372,5190366,1747.5107568359374,,2020
2020-07-07,1978.7330322265625,2007.3257203921687,1945.8253379756286,1983.1789250562786,5630055,1755.4727685546875,,2020
2020-07-08,1934.27392578125,1982.6547485337621,1924.4235861826205,1978.819236904549,2793358,1762.2318310546875,,2020
2020-07-09,1921.5911865234375,1956.5909347782892,1909.9971767354143,1943.0791684654964,3443998,1768.34697265625,,2020
2020-07-10,1937.282470703125,1961.2549618063592,1896.8778414777255,1922.3758547420746,9610320,1773.9658764648439,,2020
2020-07-13,1935.2335205078125,1956.9830618784638,1926.516252397417,1935.2335205078125,2963503,1777.65248046875,,2020
2020-07-14,1893.3468017578125,1951.796120738639,1887.2883436351735,1926.5160459278216,2976738,1781.9615600585937,,2020
2020-07-15,1947.3504638671875,1970.1026190665104,1901.323457893274,1904.7231073718253,5569321,1787.310732421875,,2020
2020-07-16,1952.4615478515625,2038.300835054344,1939.662187294027,1960.5431092421552,8582118,1793.2688500976562,,2020
